"Week","quit smoking","diet","exercise","get fit","get out of debt","get organized","learn guitar","read more","quit drinking","volunteer"
"2008-07-20 - 2008-07-26",33,61,75,72,68,34,47,43,52,59
"2008-07-27 - 2008-08-02",32,58,75,61,70,53,47,38,58,57
"2008-08-03 - 2008-08-09",30,60,75,65,73,44,52,47,56,58
"2008-08-10 - 2008-08-16",30,65,78,70,56,38,49,43,54,58
"2008-08-17 - 2008-08-23",30,61,75,71,70,41,44,52,57,59
"2008-08-24 - 2008-08-30",30,56,69,63,61,29,49,54,60,61
"2008-08-31 - 2008-09-06",30,56,71,61,60,43,48,52,52,64
"2008-09-07 - 2008-09-13",32,55,74,59,61,35,44,49,53,64
"2008-09-14 - 2008-09-20",31,55,75,64,67,36,44,51,49,65
"2008-09-21 - 2008-09-27",31,56,74,58,68,43,45,57,49,62
"2008-09-28 - 2008-10-04",33,58,75,60,66,42,45,45,63,60
"2008-10-05 - 2008-10-11",31,57,75,53,58,32,43,49,49,59
"2008-10-12 - 2008-10-18",30,58,75,51,70,35,44,48,40,57
"2008-10-19 - 2008-10-25",32,59,76,56,62,30,44,48,57,66
"2008-10-26 - 2008-11-01",31,57,74,49,70,36,44,47,68,59
"2008-11-02 - 2008-11-08",32,57,79,54,54,31,41,50,53,63
"2008-11-09 - 2008-11-15",35,61,80,49,73,42,46,63,54,69
"2008-11-16 - 2008-11-22",35,57,81,53,59,37,45,58,37,66
"2008-11-23 - 2008-11-29",26,45,68,50,50,30,50,59,37,61
"2008-11-30 - 2008-12-06",31,53,78,60,61,39,49,58,49,64
"2008-12-07 - 2008-12-13",30,51,75,58,70,34,51,52,53,61
"2008-12-14 - 2008-12-20",27,44,66,57,57,35,54,56,57,55
"2008-12-21 - 2008-12-27",22,42,59,59,51,40,82,46,54,48
"2008-12-28 - 2009-01-03",48,71,82,93,91,70,73,53,86,55
"2009-01-04 - 2009-01-10",51,84,97,97,84,58,57,51,72,69
"2009-01-11 - 2009-01-17",39,71,93,78,68,44,53,61,53,68
"2009-01-18 - 2009-01-24",40,66,86,73,67,37,49,59,53,75
"2009-01-25 - 2009-01-31",35,67,87,72,67,32,50,58,48,67
"2009-02-01 - 2009-02-07",36,64,87,68,62,41,46,59,50,66
"2009-02-08 - 2009-02-14",32,62,85,64,53,30,50,57,51,68
"2009-02-15 - 2009-02-21",34,64,87,61,54,26,51,61,37,63
"2009-02-22 - 2009-02-28",39,66,88,68,65,35,46,58,73,67
"2009-03-01 - 2009-03-07",37,62,85,61,55,32,43,59,55,64
"2009-03-08 - 2009-03-14",43,63,86,63,53,33,44,62,48,66
"2009-03-15 - 2009-03-21",43,64,85,63,46,31,41,64,46,64
"2009-03-22 - 2009-03-28",44,67,85,66,46,32,42,66,54,68
"2009-03-29 - 2009-04-04",48,65,86,65,46,39,43,67,61,64
"2009-04-05 - 2009-04-11",43,67,83,62,49,28,46,66,50,66
"2009-04-12 - 2009-04-18",41,69,85,59,48,33,47,71,48,65
"2009-04-19 - 2009-04-25",39,71,87,58,55,30,43,63,47,68
"2009-04-26 - 2009-05-02",34,68,87,62,43,38,42,62,46,61
"2009-05-03 - 2009-05-09",35,68,82,65,44,29,42,68,45,63
"2009-05-10 - 2009-05-16",34,65,82,62,47,30,43,65,54,63
"2009-05-17 - 2009-05-23",33,65,79,63,51,34,42,68,51,62
"2009-05-24 - 2009-05-30",31,66,80,60,51,26,44,63,55,62
"2009-05-31 - 2009-06-06",33,64,81,62,60,31,43,65,47,63
"2009-06-07 - 2009-06-13",33,65,82,60,61,30,44,59,54,63
"2009-06-14 - 2009-06-20",31,64,79,56,51,38,47,71,53,63
"2009-06-21 - 2009-06-27",30,61,77,59,56,29,45,63,56,61
"2009-06-28 - 2009-07-04",29,62,74,65,61,25,47,57,55,56
"2009-07-05 - 2009-07-11",31,63,77,62,61,30,45,64,51,61
"2009-07-12 - 2009-07-18",32,63,81,63,60,29,47,67,59,62
"2009-07-19 - 2009-07-25",33,65,79,69,64,32,46,68,66,64
"2009-07-26 - 2009-08-01",31,65,80,68,72,35,48,72,65,60
"2009-08-02 - 2009-08-08",32,66,78,66,55,35,48,71,68,59
"2009-08-09 - 2009-08-15",31,65,79,65,58,32,47,70,56,61
"2009-08-16 - 2009-08-22",30,66,79,62,59,35,49,66,65,60
"2009-08-23 - 2009-08-29",31,62,76,63,58,41,45,73,60,60
"2009-08-30 - 2009-09-05",30,60,75,71,59,36,44,69,64,60
"2009-09-06 - 2009-09-12",30,58,76,63,52,41,46,77,56,60
"2009-09-13 - 2009-09-19",32,61,78,65,54,30,41,66,63,61
"2009-09-20 - 2009-09-26",34,64,80,64,55,35,41,63,58,64
"2009-09-27 - 2009-10-03",30,59,78,64,52,36,38,64,53,66
"2009-10-04 - 2009-10-10",30,61,80,58,46,31,41,71,62,64
"2009-10-11 - 2009-10-17",31,59,80,64,54,27,41,69,61,62
"2009-10-18 - 2009-10-24",32,61,82,57,54,34,37,72,57,64
"2009-10-25 - 2009-10-31",29,56,75,63,48,29,37,70,61,59
"2009-11-01 - 2009-11-07",32,58,78,57,48,34,39,73,69,63
"2009-11-08 - 2009-11-14",31,60,83,63,53,34,39,73,56,66
"2009-11-15 - 2009-11-21",35,57,83,62,45,39,39,71,62,67
"2009-11-22 - 2009-11-28",26,51,74,60,46,27,44,66,44,61
"2009-11-29 - 2009-12-05",31,56,78,55,51,33,42,66,56,63
"2009-12-06 - 2009-12-12",28,52,78,53,47,34,45,62,51,57
"2009-12-13 - 2009-12-19",26,47,68,56,47,31,46,58,49,55
"2009-12-20 - 2009-12-26",23,44,59,52,39,30,59,60,49,46
"2009-12-27 - 2010-01-02",46,72,77,82,61,54,66,54,75,54
"2010-01-03 - 2010-01-09",57,95,91,90,66,50,49,54,66,76
"2010-01-10 - 2010-01-16",44,79,92,85,53,49,45,60,56,100
"2010-01-17 - 2010-01-23",42,74,93,73,54,45,46,67,61,91
"2010-01-24 - 2010-01-30",39,72,87,77,54,35,45,71,60,75
"2010-01-31 - 2010-02-06",39,70,90,73,46,36,45,72,56,70
"2010-02-07 - 2010-02-13",37,67,85,70,52,33,42,68,47,63
"2010-02-14 - 2010-02-20",36,67,85,69,45,36,46,69,60,65
"2010-02-21 - 2010-02-27",38,71,88,70,40,36,42,72,62,67
"2010-02-28 - 2010-03-06",37,73,88,69,48,30,40,70,65,65
"2010-03-07 - 2010-03-13",34,69,84,66,47,31,38,72,63,63
"2010-03-14 - 2010-03-20",34,69,83,69,42,34,41,71,62,61
"2010-03-21 - 2010-03-27",34,70,88,74,42,31,38,77,53,62
"2010-03-28 - 2010-04-03",31,66,84,67,45,29,38,73,62,60
"2010-04-04 - 2010-04-10",31,70,83,67,46,27,38,71,53,60
"2010-04-11 - 2010-04-17",31,70,85,64,44,30,36,65,48,63
"2010-04-18 - 2010-04-24",33,71,86,68,39,32,36,76,57,65
"2010-04-25 - 2010-05-01",31,70,86,66,40,23,38,73,50,62
"2010-05-02 - 2010-05-08",30,70,81,66,39,23,36,73,51,64
"2010-05-09 - 2010-05-15",29,69,80,63,39,29,37,66,64,60
"2010-05-16 - 2010-05-22",28,70,79,68,43,34,37,67,55,60
"2010-05-23 - 2010-05-29",27,65,77,62,41,30,39,81,57,62
"2010-05-30 - 2010-06-05",29,66,73,63,43,21,40,70,56,63
"2010-06-06 - 2010-06-12",30,63,77,65,42,30,38,70,55,69
"2010-06-13 - 2010-06-19",29,62,75,64,41,32,37,69,46,62
"2010-06-20 - 2010-06-26",26,62,73,60,46,27,36,76,58,61
"2010-06-27 - 2010-07-03",28,63,71,65,44,26,36,70,51,58
"2010-07-04 - 2010-07-10",29,65,76,68,51,26,39,63,56,56
"2010-07-11 - 2010-07-17",30,68,77,70,54,27,41,72,63,59
"2010-07-18 - 2010-07-24",29,69,75,66,53,32,40,68,53,58
"2010-07-25 - 2010-07-31",28,67,74,65,48,30,39,69,74,56
"2010-08-01 - 2010-08-07",30,67,73,68,50,37,38,61,65,57
"2010-08-08 - 2010-08-14",30,66,72,66,48,29,39,71,63,56
"2010-08-15 - 2010-08-21",30,66,74,63,50,32,39,69,63,57
"2010-08-22 - 2010-08-28",28,63,72,71,48,34,37,74,55,57
"2010-08-29 - 2010-09-04",30,63,71,70,39,30,38,71,65,57
"2010-09-05 - 2010-09-11",30,63,70,73,44,31,37,70,58,58
"2010-09-12 - 2010-09-18",31,65,75,66,46,31,36,69,63,64
"2010-09-19 - 2010-09-25",31,67,74,68,54,30,36,64,54,61
"2010-09-26 - 2010-10-02",30,63,74,66,46,29,35,70,56,59
"2010-10-03 - 2010-10-09",31,62,76,69,46,25,35,64,47,60
"2010-10-10 - 2010-10-16",31,63,76,70,40,23,31,71,51,55
"2010-10-17 - 2010-10-23",30,62,72,61,46,27,33,78,53,57
"2010-10-24 - 2010-10-30",30,60,73,66,39,27,35,80,55,56
"2010-10-31 - 2010-11-06",30,59,73,69,46,25,32,81,57,57
"2010-11-07 - 2010-11-13",29,61,75,68,47,28,34,74,57,60
"2010-11-14 - 2010-11-20",32,59,75,70,49,23,34,79,63,63
"2010-11-21 - 2010-11-27",25,50,69,69,34,22,36,75,49,53
"2010-11-28 - 2010-12-04",28,62,74,67,44,25,35,73,64,56
"2010-12-05 - 2010-12-11",27,56,73,66,37,28,36,73,51,54
"2010-12-12 - 2010-12-18",26,48,67,63,35,29,36,72,52,52
"2010-12-19 - 2010-12-25",23,47,55,63,27,25,45,66,46,45
"2010-12-26 - 2011-01-01",33,67,68,83,54,48,55,71,75,41
"2011-01-02 - 2011-01-08",54,95,89,100,54,54,41,83,79,59
"2011-01-09 - 2011-01-15",37,78,85,83,49,38,40,83,67,73
"2011-01-16 - 2011-01-22",36,78,88,85,48,40,38,75,64,61
"2011-01-23 - 2011-01-29",33,77,87,78,48,30,36,76,59,59
"2011-01-30 - 2011-02-05",34,71,87,75,47,30,37,84,63,55
"2011-02-06 - 2011-02-12",34,73,83,72,50,26,34,74,64,56
"2011-02-13 - 2011-02-19",30,67,81,72,42,27,34,81,60,53
"2011-02-20 - 2011-02-26",31,73,82,70,34,28,32,87,59,54
"2011-02-27 - 2011-03-05",32,77,84,73,43,25,32,83,58,56
"2011-03-06 - 2011-03-12",35,72,84,73,41,27,32,84,72,60
"2011-03-13 - 2011-03-19",30,69,76,69,35,23,30,79,57,62
"2011-03-20 - 2011-03-26",32,76,82,73,43,19,30,84,59,59
"2011-03-27 - 2011-04-02",32,75,81,71,38,23,32,86,59,59
"2011-04-03 - 2011-04-09",34,79,82,76,44,22,31,80,62,57
"2011-04-10 - 2011-04-16",31,77,81,69,38,28,30,85,57,59
"2011-04-17 - 2011-04-23",31,80,78,72,39,24,32,86,61,55
"2011-04-24 - 2011-04-30",29,79,78,72,37,20,30,81,74,57
"2011-05-01 - 2011-05-07",30,81,80,73,40,22,30,88,60,56
"2011-05-08 - 2011-05-14",30,78,83,74,36,24,32,80,69,55
"2011-05-15 - 2011-05-21",28,77,82,78,44,25,33,92,57,56
"2011-05-22 - 2011-05-28",29,75,77,71,36,21,33,86,57,58
"2011-05-29 - 2011-06-04",31,74,77,74,38,24,35,81,68,57
"2011-06-05 - 2011-06-11",27,76,80,75,34,25,39,81,59,58
"2011-06-12 - 2011-06-18",28,71,77,69,38,28,35,83,63,57
"2011-06-19 - 2011-06-25",31,71,77,72,45,22,34,77,56,56
"2011-06-26 - 2011-07-02",28,71,75,71,37,20,35,86,65,53
"2011-07-03 - 2011-07-09",28,72,73,70,41,23,35,83,67,51
"2011-07-10 - 2011-07-16",29,74,77,72,39,25,35,87,67,55
"2011-07-17 - 2011-07-23",27,76,75,68,48,25,34,80,58,53
"2011-07-24 - 2011-07-30",29,71,73,68,52,25,32,79,69,51
"2011-07-31 - 2011-08-06",29,73,77,74,51,25,33,83,65,52
"2011-08-07 - 2011-08-13",28,68,74,65,43,26,32,84,65,51
"2011-08-14 - 2011-08-20",27,71,75,67,42,31,32,85,61,53
"2011-08-21 - 2011-08-27",28,69,72,66,39,28,32,76,67,53
"2011-08-28 - 2011-09-03",27,66,69,72,41,31,32,81,64,52
"2011-09-04 - 2011-09-10",31,68,75,74,38,30,32,84,66,55
"2011-09-11 - 2011-09-17",29,68,75,74,38,24,30,89,62,57
"2011-09-18 - 2011-09-24",30,68,74,69,40,27,31,79,61,56
"2011-09-25 - 2011-10-01",32,70,80,71,40,27,32,95,60,54
"2011-10-02 - 2011-10-08",30,64,75,72,42,27,29,80,50,51
"2011-10-09 - 2011-10-15",32,67,79,71,46,28,29,88,64,54
"2011-10-16 - 2011-10-22",31,66,76,68,42,23,31,82,59,52
"2011-10-23 - 2011-10-29",31,63,71,67,44,23,32,85,53,50
"2011-10-30 - 2011-11-05",32,67,76,68,39,27,32,81,60,53
"2011-11-06 - 2011-11-12",33,67,78,74,39,25,35,87,59,55
"2011-11-13 - 2011-11-19",32,67,79,67,46,28,34,87,55,58
"2011-11-20 - 2011-11-26",27,58,71,60,39,22,35,85,55,51
"2011-11-27 - 2011-12-03",31,69,79,64,42,24,36,87,67,54
"2011-12-04 - 2011-12-10",28,61,75,64,39,26,34,88,57,53
"2011-12-11 - 2011-12-17",26,56,70,62,36,26,37,89,64,51
"2011-12-18 - 2011-12-24",23,53,59,63,35,25,38,78,52,45
"2011-12-25 - 2011-12-31",30,68,66,79,39,43,50,82,75,38
"2012-01-01 - 2012-01-07",52,100,90,97,52,46,41,84,100,53
"2012-01-08 - 2012-01-14",41,88,90,88,48,41,34,79,75,58
"2012-01-15 - 2012-01-21",38,84,87,84,49,36,35,86,60,55
"2012-01-22 - 2012-01-28",36,78,89,82,46,29,32,87,63,57
"2012-01-29 - 2012-02-04",34,80,88,89,36,32,33,83,69,55
"2012-02-05 - 2012-02-11",35,78,87,78,38,28,32,95,66,52
"2012-02-12 - 2012-02-18",32,72,81,74,38,22,32,93,65,49
"2012-02-19 - 2012-02-25",34,80,92,76,37,28,34,91,77,52
"2012-02-26 - 2012-03-03",34,80,91,79,34,26,32,100,65,53
"2012-03-04 - 2012-03-10",32,76,89,78,32,27,30,94,59,56
"2012-03-11 - 2012-03-17",33,75,89,70,33,21,30,86,65,49
"2012-03-18 - 2012-03-24",32,76,87,71,34,30,28,88,59,49
"2012-03-25 - 2012-03-31",34,74,85,75,35,22,28,89,59,51
"2012-04-01 - 2012-04-07",32,72,81,69,29,23,28,85,61,51
"2012-04-08 - 2012-04-14",34,77,80,75,35,24,30,88,59,52
"2012-04-15 - 2012-04-21",34,80,88,81,35,24,28,92,60,55
"2012-04-22 - 2012-04-28",34,78,85,79,35,27,30,82,63,54
"2012-04-29 - 2012-05-05",34,78,86,81,35,30,28,92,61,54
"2012-05-06 - 2012-05-12",32,77,86,72,36,23,30,93,56,51
"2012-05-13 - 2012-05-19",32,74,81,76,44,23,28,78,61,54
"2012-05-20 - 2012-05-26",34,74,81,73,36,20,28,78,59,52
"2012-05-27 - 2012-06-02",35,73,81,74,32,21,30,80,56,49
"2012-06-03 - 2012-06-09",33,74,81,69,30,27,31,84,65,53
"2012-06-10 - 2012-06-16",30,73,82,77,35,22,30,80,66,53
"2012-06-17 - 2012-06-23",30,75,85,76,38,23,31,90,70,54
"2012-06-24 - 2012-06-30",30,75,83,78,33,24,31,86,64,55
"2012-07-01 - 2012-07-07",29,73,78,78,35,22,32,76,68,48
"2012-07-08 - 2012-07-14",31,76,84,78,33,24,32,87,75,54
"2012-07-15 - 2012-07-21",32,77,84,78,46,23,31,85,69,53
"2012-07-22 - 2012-07-28",30,74,82,78,42,24,31,87,73,53
"2012-07-29 - 2012-08-04",29,76,83,85,38,27,29,80,80,51
"2012-08-05 - 2012-08-11",30,76,84,83,39,31,30,82,69,50
"2012-08-12 - 2012-08-18",32,73,83,86,44,29,29,88,78,55
"2012-08-19 - 2012-08-25",30,72,81,79,41,31,30,87,88,54
"2012-08-26 - 2012-09-01",30,70,81,81,45,25,29,91,71,53
"2012-09-02 - 2012-09-08",32,72,84,88,45,26,31,88,69,56
"2012-09-09 - 2012-09-15",31,72,83,79,38,25,28,90,58,60
"2012-09-16 - 2012-09-22",32,71,83,80,41,25,29,98,57,57
"2012-09-23 - 2012-09-29",30,68,83,76,38,28,29,95,72,53
"2012-09-30 - 2012-10-06",32,67,83,75,43,28,29,94,60,54
"2012-10-07 - 2012-10-13",29,65,83,71,37,24,30,83,67,52
"2012-10-14 - 2012-10-20",30,66,81,73,38,25,28,91,64,52
"2012-10-21 - 2012-10-27",29,62,80,68,39,28,28,83,60,51
"2012-10-28 - 2012-11-03",26,59,71,66,35,23,27,88,68,64
"2012-11-04 - 2012-11-10",28,61,78,67,38,22,28,86,62,64
"2012-11-11 - 2012-11-17",29,62,77,66,38,20,29,84,65,59
"2012-11-18 - 2012-11-24",25,57,71,66,33,18,30,92,67,53
"2012-11-25 - 2012-12-01",29,62,80,69,38,26,30,85,72,51
"2012-12-02 - 2012-12-08",27,62,79,69,32,26,29,95,72,53
"2012-12-09 - 2012-12-15",25,55,74,67,31,25,30,85,59,48
"2012-12-16 - 2012-12-22",23,47,63,66,28,19,31,79,52,45
"2012-12-23 - 2012-12-29",25,55,62,72,35,24,47,76,63,37
"2012-12-30 - 2013-01-05",35,73,72,81,51,36,44,78,93,39
"All time AVG",33.8836477987,65.8427672956,79.8836477987,64.7924528302,51.5566037736,34.751572327,40.9937106918,64.3647798742,56.8616352201,59.3742138365
"January AVG",46.9333333333,77.5666666667,90.1,77.6666666667,64.6,52.6666666667,49,58.7333333333,63.3666666667,65.9
"January / All time",1.3851322506,1.1780590314,1.1278904066,1.1986992817,1.2529917658,1.5155189576,1.1953053084,0.9125073285,1.1144010618,1.1099094328
,," ",," ",,," "," "," "," "
